recall,precision
0.388716,0.995122
0.388726,0.991918
0.390201,0.996724
0.390211,0.99352
0.390221,0.990317
0.391696,0.995122
0.391706,0.991918
0.39246,0.989115
0.393186,0.995122
0.393196,0.991918
0.39395,0.989115
0.394677,0.994722
0.394687,0.991518
0.396163,0.995923
0.396173,0.992719
0.396183,0.989516
0.397658,0.994321
0.397668,0.991118
0.399143,0.995923
0.399153,0.992719
0.399163,0.989516
0.400638,0.994321
0.400648,0.991118
0.402123,0.995923
0.402133,0.992719
0.402143,0.989516
0.403618,0.994321
0.403628,0.991118
0.405103,0.995923
0.405113,0.992719
0.405123,0.989516
0.406598,0.994321
0.406608,0.991118
0.408083,0.995923
0.408093,0.992719
0.408102,0.989516
0.409578,0.994321
0.409587,0.991118
0.411062,0.995923
0.411072,0.992719
0.411082,0.989516
0.412557,0.994321
0.412567,0.991118
0.412577,0.988114
0.414047,0.994321
0.414057,0.991118
0.414067,0.987914
0.415538,0.993921
0.415548,0.990717
0.415558,0.987714
0.417031,0.99312
0.417041,0.989916
0.416676,0.987514
0.418522,0.992719
0.418532,0.989516
0.420007,0.994321
0.420017,0.991118
0.420027,0.987914
0.421502,0.992719
0.421512,0.989516
0.422987,0.994321
0.422997,0.991118
0.423006,0.987914
0.424478,0.993921
0.424488,0.990717
0.424498,0.987514
0.425969,0.99352
0.425979,0.990317
0.425989,0.987113
0.427464,0.991918
0.427474,0.988715
0.428949,0.99352
0.428959,0.990317
0.428969,0.987113
0.430444,0.991918
0.430454,0.988715
0.431929,0.99352
0.431938,0.990317
0.431948,0.987113
0.433423,0.991918
0.433433,0.988715
0.434908,0.99352
0.434918,0.990317
0.434928,0.987113
0.436403,0.991918
0.436413,0.988715
0.437888,0.99352
0.437898,0.990317
0.437908,0.987113
0.439383,0.991918
0.439393,0.988715
0.440868,0.99352
0.440878,0.990317
0.440888,0.987113
0.442363,0.991918
0.442373,0.988715
0.443848,0.99352
0.443858,0.990317
0.443868,0.987113
0.445343,0.991918
0.445353,0.988715
0.446828,0.99352
0.446838,0.990317
0.446847,0.987113
0.448322,0.991918
0.448332,0.988715
0.449086,0.985912
0.449812,0.991918
0.449822,0.988715
0.450575,0.986112
0.451305,0.991118
0.451315,0.987914
0.45279,0.992719
0.4528,0.989516
0.453554,0.986312
0.454285,0.991118
0.454294,0.987914
0.45577,0.992719
0.455779,0.989516
0.456534,0.986312
0.457264,0.991118
0.457274,0.987914
0.458749,0.992719
0.458759,0.989516
0.459514,0.986312
0.460239,0.992719
0.460249,0.989516
0.461004,0.986312
0.46173,0.992319
0.46174,0.989115
0.462621,0.985511
0.463224,0.991118
0.463234,0.987914
0.463989,0.984711
0.464719,0.989516
0.465474,0.986312
0.465482,0.983509
0.466209,0.989516
0.467088,0.986312
0.4666,0.983509
0.467701,0.988715
0.468456,0.985511
0.469186,0.990317
0.469941,0.987113
0.469951,0.98391
0.470681,0.988715
0.471436,0.985511
0.472166,0.990317
0.472921,0.987113
0.472931,0.98391
0.473661,0.988715
0.474416,0.985511
0.475146,0.990317
0.475901,0.987113
0.47591,0.98391
0.476641,0.988715
0.47739,0.987113
0.4774,0.98391
0.47813,0.988715
0.479005,0.987113
0.478892,0.983509
0.480368,0.987914
0.480378,0.984711
0.481108,0.989516
0.481982,0.987914
0.481869,0.98431
0.483345,0.988715
0.483355,0.985511
0.483365,0.982308
0.48484,0.987113
0.48485,0.98391
0.486325,0.988715
0.486335,0.985511
0.486345,0.982308
0.48782,0.987113
0.48783,0.98391
0.489305,0.988715
0.489315,0.985511
0.489325,0.982308
0.4908,0.987113
0.49081,0.98391
0.492285,0.988715
0.492294,0.985511
0.492304,0.982308
0.493779,0.987113
0.493789,0.98391
0.495264,0.988715
0.495274,0.985511
0.495284,0.982308
0.496759,0.987113
0.496769,0.98391
0.498244,0.988715
0.498254,0.985511
0.498264,0.982308
0.499734,0.988715
0.499744,0.985511
0.499754,0.982308
0.501225,0.988315
0.501235,0.985111
0.501245,0.981907
0.502718,0.987514
0.502728,0.98431
0.502737,0.981107
0.504214,0.985511
0.504224,0.982308
0.505699,0.987113
0.505709,0.98391
0.505718,0.980706
0.507189,0.987113
0.507198,0.98391
0.507208,0.980706
0.50868,0.986713
0.50869,0.983509
0.5087,0.980306
0.510176,0.984711
0.510186,0.981507
0.511661,0.986312
0.511671,0.983109
0.511681,0.979905
0.513156,0.984711
0.513166,0.981507
0.514641,0.986312
0.51465,0.983109
0.51466,0.979905
0.51613,0.986312
0.51614,0.983109
0.51615,0.979905
0.517623,0.985511
0.517633,0.982308
0.518388,0.979104
0.519118,0.98391
0.519128,0.980706
0.520603,0.985511
0.520613,0.982308
0.521367,0.979104
0.522098,0.98391
0.522107,0.980706
0.523582,0.985511
0.523592,0.982308
0.523606,0.977903
0.525072,0.985511
0.525082,0.982308
0.525096,0.977903
0.526565,0.984711
0.526575,0.981507
0.52733,0.978303
0.52806,0.983109
0.528814,0.979905
0.529545,0.984711
0.529554,0.981507
0.530309,0.978303
0.531039,0.983109
0.531794,0.979905
0.532524,0.984711
0.532534,0.981507
0.533289,0.978303
0.534019,0.983109
0.534774,0.979905
0.535504,0.984711
0.535514,0.981507
0.536269,0.978303
0.536999,0.983109
0.537754,0.979905
0.538484,0.984711
0.538494,0.981507
0.539249,0.978303
0.539974,0.984711
0.539984,0.981507
0.54074,0.977903
0.541466,0.98391
0.542221,0.980706
0.542231,0.977503
0.542961,0.982308
0.543716,0.979104
0.544446,0.98391
0.545201,0.980706
0.545211,0.977503
0.545941,0.982308
0.546691,0.980706
0.546701,0.977503
0.547432,0.981907
0.548183,0.979905
0.548918,0.983109
0.548938,0.976702
0.549678,0.978303
0.550413,0.981507
0.551163,0.979905
0.551177,0.9755
0.551903,0.981507
0.552653,0.979905
0.552667,0.9755
0.553394,0.981107
0.554145,0.979104
0.554885,0.980706
0.5549,0.975901
0.55637,0.982308
0.556385,0.977503
0.557125,0.979104
0.55786,0.982308
0.557875,0.977503
0.558615,0.979104
0.559351,0.981907
0.559489,0.977503
0.560121,0.973899
0.560847,0.979905
0.560857,0.976702
0.561612,0.973498
0.562337,0.979905
0.562347,0.976702
0.563226,0.973498
0.563826,0.980306
0.563836,0.977102
0.564592,0.973498
0.564601,0.970695
0.565323,0.977903
0.565333,0.974699
0.566091,0.970695
0.566817,0.976702
0.567696,0.973498
0.567582,0.970094
0.568309,0.975901
0.569065,0.972297
0.569075,0.969293
0.570671,0.9751
0.570558,0.971496
0.570193,0.969093
0.572039,0.974299
0.572049,0.971095
0.573524,0.975901
0.573534,0.972697
0.573544,0.969494
0.575014,0.975901
0.575024,0.972697
0.575034,0.969494
0.576505,0.9755
0.576515,0.972297
0.576525,0.969093
0.577999,0.974299
0.578009,0.971095
0.578763,0.967892
0.579494,0.972697
0.579503,0.969494
0.580257,0.966691
0.580983,0.972697
0.580993,0.969494
0.581748,0.96649
0.582475,0.972297
0.582484,0.969093
0.58324,0.965689
0.583967,0.971496
0.583977,0.968292
0.584732,0.965089
0.585459,0.970695
0.585469,0.967491
0.586946,0.971896
0.586955,0.968693
0.58771,0.965489
0.588435,0.971896
0.588445,0.968693
0.5892,0.965489
0.589927,0.971496
0.589936,0.968292
0.590693,0.964688
0.591423,0.969494
0.591433,0.96629
0.592908,0.971095
0.592918,0.967892
0.593797,0.964688
0.5944,0.970295
0.59441,0.967091
0.595165,0.963887
0.595895,0.968693
0.59665,0.965489
0.59738,0.970295
0.59739,0.967091
0.598145,0.963887
0.598875,0.968693
0.59963,0.965489
0.60036,0.970295
0.60037,0.967091
0.601124,0.963887
0.601854,0.968693
0.602609,0.965489
0.603339,0.970295
0.603349,0.967091
0.604104,0.963887
0.604834,0.968693
0.605589,0.965489
0.606319,0.970295
0.606329,0.967091
0.607084,0.963887
0.607814,0.968693
0.608569,0.965489
